name,gender
Steven Spielberg,m
Sally Menke,f
Ian Fleming,m
Donald McAlpine,m
Gregory M. Walker,m
Tom Cruise,m
Georg Friedrich Händel,m
Michael Giacchino,m
David S. Ward,m
Barry Malkin,m
David Odell,m
Daniel Delume,m
David Schlesinger,m
Trudy Ramirez,f
Diane L. Sabatini,f
Steve Allen,m
Jack Epps Jr.,m
Lawrence Sher,m
Mitch Dubin,m
Gavin Polone,m
Jim Kouf,m
Everett Burrell,m
Corinne Clark,f
Cliff Fleming,m
John Sloss,m
Holly Wiersma,f
Gary Levinsohn,m
Peter Locke,m
Walt Disney,m
Tim Burton,m
Glen Glenn,m
Everett Creach,m
Tim Burton,m
William H. Clothier,m
Thomas John McGowan,m
Scott Niemeyer,m
George R. Nelson,m
Nile Rodgers,m
Philip M. Jefferies,m
Hal E. Chester,m
Ernest Walter,m
Michael Jablow,m
Robert Easton,m
Ronald Sanders,m
Simon Whiteley,m
Fausto Brizzi,m
Jennifer Spence,f
Stephen King,m
Emma E. Hickox,f
Hugh Bateup,m
Peter Jackson,m
David Torn,m
Bear McCreary,m
Jennifer Pyken,f
Greg Blair,m
Vilmos Zsigmond,m
Craig Titley,m
Tom Trafalski,m
Leslie Shatz,m
Jerry Stahl,m
Deirdre Bowen,f
Debbie McWilliams,f
Donna Brower,f
Vanessa Taylor,f
Marcel Grignon,m
Mike Medavoy,m
Pablo Trapero,m
Gary Williamson,m
Stephen Noble,m
Scott Mosier,m
Ellen Chenoweth,f
Eleanor Fazan,f
Jack Kinney,m
Dennis M. Hill,m
Emma Callinan,f
Cynthia Kay Charette,f
Don Siegel,m
Alan Taylor,m
Sylvester Stallone,m
Patrick Doyle,m
Bruce Broughton,m
Matt Winston,m
Michael Lantieri,m
Kevin Conran,m
Martin Schuermann,m
Lee Eisenberg,m
David Hackl,m
Robert K. Weiss,m
Janusz Kamiński,m
Lukas Moodysson,m
Caleb Deschanel,m
Nicki Gardiner,f
Michael Allin,m
Don MacDonald,m
Laura Rosenthal,f
Jacqueline Feather,f
Stephanie Gorin,f
Kate J. Sullivan,f
Daniel Myrick,m
Frederick Zollo,m
Luis Berdejo,m
La Vonne Girard,f
Lorraine Richard,f
Melinda Taksen,f
Shane Black,m
Carolyn Elias,f
Rob Minkoff,m
Christine Langan,f
Robert Seaman,m
Lee Unkrich,m
Takashige Ichise,m
Sidney Lumet,m
Christopher Guest,m
Steve M. Davison,m
