name,gender
Peter Capaldi,m
Cho Jin-woong,m
Ken Watanabe,m
Barry Dennen,m
Kim Min-hee,f
George Macready,m
Guy Pearce,m
Barry Nelson,m
Jonathan Haagensen,m
Joel Allen,m
Richard LeParmentier,m
Max Mauff,m
Jack Klugman,m
Selton Mello,m
Hannes Hellmann,m
Ted Markland,m
Jack Elam,m
Milena Vukotic,f
Matheus Nachtergaele,m
Sam Anderson,m
Billy Gilbert,m
Marc Michel,m
Mario Feliciani,m
Carrie-Anne Moss,f
Tatsuya Nakadai,m
Danny Aiello,m
Tsunehiko Kamijô,m
Mort Mills,m
Omar Sy,m
Catherine Spaak,f
Morgana King,f
Luc Bernard,m
Giuseppe Sillato,m
Moon So-ri,f
Kyle Harrison Breitkopf,m
Burt Young,m
Stéphane Lefebvre,m
Max Riemelt,m
Joséphine de Meaux,f
Rada Rassimov,f
Linda Sini,f
Christina Cabot,f
Frank Finlay,m
Akiji Kobayashi,m
Jacques Perrin,m
Daryl Hannah,f
Craig Parker,m
Kathryn Mullen,f
Jemma Redgrave,f
David Wenham,m
Leon Pownall,m
Bunta Sugawara,m
Carter DeHaven,m
Eddie Baker,m
Michael J. Fox,m
Christiane Kubrick,f
Caroline Goodall,f
Bill Irwin,m
Cecil B. DeMille,m
John C. McGinley,m
Sally Field,f
Joshua Harto,m
Anna Mucha,f
Tom Baker,m
Louis Ravet,m
Dan Hedaya,m
Larry Holden,m
Reginald Gardiner,m
Antonin Artaud,m
Catherine Scorsese,f
Dominique Zardi,m
Paul Lazar,m
Francesca De Sapio,f
Kenny Baker,m
Billy Boyd,m
Adelaide Alaïs,f
Ethan Suplee,m
Joseph Ragno,m
James A Hughes,m
Wayne Morris,m
Ruta Lee,f
Shota Sometani,m
Harry Dean Stanton,m
Richard Sammel,m
Al Ernest Garcia,m
Carlo Pisacane,m
Kirk Douglas,m
Anthony Hopkins,m
Timothée Chalamet,m
Benedict Cumberbatch,m
Abbie Cornish,f
Lloyd Gough,m
Harris Savides,m
Mari Natsuki,f
Ian Wolfe,m
Yumeji Tsukioka,f
Pruitt Taylor Vince,m
Harrison Ford,m
Peter Mayhew,m
Richard Ridings,m
Tiberio Murgia,m
Thomas Lawinky,m
John Gavin,m
Ingrid Oliver,f
Andy Serkis,m
Reda Guerinik,m
Lucas Hedges,m
Jamie Clayton,f
Sheryl Lee,f
Eitarô Shindô,m
Richard Bright,m
Frank DiLeo,m
Lara Flynn Boyle,f
Kavita Patil,f
Yuko Miyamura,f
Nestor Carbonell,m
Olga Karlatos,f
Giustino Durano,m
Michael Madsen,m
G. D. Spradlin,m
Tony Darrow,m
Richard Beymer,m
Paulette Goddard,f
Keiko Tsushima,f
Rory O'Shea,m
Keram Malicki-Sánchez,m
Jyonmyon Pe,m
Danielle Rose Russell,f
Virginia Cavendish,f
Sô Yamamura,m
Nobuo Nakamura,m
Masahiko Nishimura,m
Tiny Sandford,m
Elle McKinnon,f
Jean-Louis Trintignant,m
Karen Gillan,f
Philip Stone,m
Richard Alexander,m
Richard Roundtree,m
Eric Berry,m
John Williams,m
Brian J. Smith,m
Peter Appel,m
Viviane Pascal,f
Elijah Wood,m
Tyrone Power,m
Bob Gunton,m
Wendy Crewson,f
Cate Blanchett,f
Kokuten Kôdô,m
Bill Nunn,m
Nancy Olson,f
Suzanne Clément,f
George Lynn,m
Marco Zuanelli,m
Hedda Hopper,f
André Aciman,m
Ian Holm,m
Karl Urban,m
Alexandre Rodrigues,m
Cezary Łukaszewicz,m
Clarence Williams III,m
Colin Baker,m
Jack Nance,m
Doug Hutchison,m
Kumiko Asou,f
Jean Luisi,m
Lea Thompson,f
Stacy Keach,m
Amanda Brugel,f
Tom Hanks,m
Kazuhiko Inoue,m
Dana Ashbrook,m
Ben Kingsley,m
John Bartha,m
Mark Gatiss,m
Chris Penn,m
Patrick Troughton,m
Viggo Mortensen,m
Minoru Chiaki,m
Bert Freed,m
Ted Levine,m
Lee Dong-hwi,m
Shah Rukh Khan,m
Alberto Vazquez,m
Robert De Niro,m
Harrison Ford,m
Salimata Kamate,f
Ted Pluviose,m
Will Hare,m
Casey Siemaszko,m
Terrence Mann,m
Vladimir Brichta,m
Jennifer Connelly,f
Ralph Montgomery,m
Carla Gravina,f
Claudia Wells,f
Robert Duvall,m
Fernanda Montenegro,f
Natalia Tena,f
Mitsunori Isaki,m
Douglas Silva,m
Steve Buscemi,m
Peter Brocco,m
James Caan,m
Hawthorne James,m
Sandy Martin,f
Warren Frost,m
Mike Starr,m
Kuniko Miyake,f
Takashi Shimura,m
Anne Dorval,f
Gloria Swanson,f
Yūnosuke Itō,m
Gustavo Serena,m
Michael Badalucco,m
Dorothée Brière,f
Rasmus Hardiker,m
Christopher Berry,m
Victoire Du Bois,f
Christopher Masterson,m
Mélanie Thierry,f
Mike Chute,m
William Sadler,m
Kirk Baltz,m
Jack Nicholson,m
Pete Postlethwaite,m
Haruko Kato,f
Ellen Greene,f
Amanda Abbington,f
Damon Gupton,m
Nathan Gamble,m
Melinda McGraw,f
Helena Bonham Carter,f
Ludmilla Tchérina,f
Rebecca Ferguson,f
Anupam Kher,m
Yui Ishikawa,f
Brad Dourif,m
Kate Drummond,f
Michèle Lituac,f
Brad Dourif,m
J.K. Simmons,m
Michelle Williams,f
Sydney Lassick,m
Marlene Dietrich,f
David Gyasi,m
Norma Varden,f
Armie Hammer,m
Gabriel Byrne,m
Cate Blanchett,f
Kotono Mitsuishi,f
Owen Wilson,m
Morgan Freeman,m
Wanja Mues,m
Jee-Yun Lee,f
Andy Serkis,m
Christopher Lloyd,m
Cillian Murphy,m
Chester Conklin,m
John Travolta,m
Michael Caine,m
Buster Keaton,m
Anthony Heald,m
Matthew McConaughey,m
Billy Boyd,m
Jacob Tremblay,m
Barbara Bel Geddes,f
Randy Brooks,m
Sam Rockwell,m
Minoru Chiaki,m
Roger Corman,m
Martin Herdman,m
Charlie Chaplin,m
Julia Roberts,f
Alexandra Powers,f
David Oyelowo,m
George Martin,m
Matt Winston,m
Leland Orser,m
Aoi Miyazaki,f
Elizabeth McGovern,f
Stephen Baldwin,m
Kamatari Fujiwara,m
Grace Hayle,f
Vincent Fafard,m
Aoi Yuki,f
Jernard Burks,m
Yo Oizumi,m
Mark Fite,m
Tsutomu Tatsumi,m
Uma Thurman,f
Welker White,f
Rafe Spall,m
Al Mulock,m
Henry Bergman,m
Karan Johar,m
Danny DeVito,m
Will Sampson,m
Ian McDiarmid,m
Alice Braga,f
Will Swenson,m
Haruko Sugimura,f
Ray Wise,m
Kevin Pollak,m
Barry Pepper,m
John Martino,m
David Steen,m
Chazz Palminteri,m
Anthony Perkins,m
John Rhys-Davies,m
Jerry Vale,m
Ken Drury,m
Morgan Hunter,m
Jonathan Crombie,m
Gary Sinise,m
Lurene Tuttle,f
William Forsythe,m
Jack Webb,m
Akira Ishihama,m
Irene Browne,f
Masao Mishima,m
J.J. Cohen,m
Richard Conte,m
Megumi Hayashibara,f
Yutaka Sada,m
Afemo Omilami,m
Kewpie Morgan,m
Joe Cortese,m
George Davis,m
Maria Falconetti,f
Zendaya,f
Ha Jung-woo,m
Isao Kimura,m
Steve Buscemi,m
Lawrence Tierney,m
Diogo Vilela,m
Alfred Hitchcock,m
Fabio Testi,m
Aidan Turner,m
Jesslyn Fax,f
Chris Mulkey,m
Mone Kamishiraishi,f
Albert Austin,m
Paul Bradley,m
Earl Cameron,m
Mark Hamill,m
Angela Jones,f
Rudy Bond,m
Eve Brent,f
Jack Nicholson,m
Paul McGann,m
Sean Astin,m
John Hurt,m
Eugene Silvain,m
Sylvester McCoy,m
Masaki Terasoma,m
Maria Pia Casilio,f
Leopoldo Trieste,m
Tsutomu Yamazaki,m
Bess Flowers,f
Russ Fega,m
Brett Rice,m
Charles Bronson,m
Marion Cotillard,f
Andy Serkis,m
